mentor_id,name,email,review_info,capacity_PhD,capacity_MSc,assigned_PhD,assigned_MSc,MSc: no_1,MSc: no_2,MSc: no_3,MSc: no_4,MSc: no_5,PhD: no_1,PhD: no_2,PhD: no_3,PhD: no_4,PhD: no_5,combined_mentor_id,verification_code,mentee_response,response_MSc,response_PhD,response_reasons,mentee_MSc,mentee_PhD,no_match_MSc,no_match_PhD,raw_capacity_PhD,raw_capacity_MSc,over_capacity,verification_code2
E13,name183,mentor183@email.com,True,2,1,3,10,,['M071'],"['M051', 'M081', 'M087']","['M012', 'M044', 'M084']","['M018', 'M036', 'M068']",,,['P127'],['P118'],['P138'],,,True,['M071'],"['P138', 'P127']",,M071 ,P138 ,1,1,3,2,False,bU5SfDfTSR
E14,name184,mentor184@email.com,False,2,1,3,0,,,,,,"['P100', 'P124']",,,['P050'],,,,False,,,,,P100 ,0,1,2,1,False,zsJWxemg2l
E16,name186,mentor186@email.com,False,3,3,5,4,,['M075'],['M050'],"['M047', 'M057']",,,,['P114'],"['P031', 'P045', 'P103']",['P085'],,,False,,,,M075 M057 ,P085 ,2,1,3,3,False,vqMRSDpIq2
E17,name187,mentor187@email.com,False,3,0,4,2,,,,['M005'],['M030'],['P101'],,['P087'],['P125'],['P066'],,,False,,,,,P101 ,0,1,3,0,False,3kt2lMCS0K
E18,name188,mentor188@email.com,True,2,2,6,21,"['M011', 'M019', 'M064', 'M078']","['M004', 'M032']","['M031', 'M044', 'M062', 'M065', 'M068']","['M006', 'M007', 'M027', 'M036', 'M051', 'M060', 'M066', 'M071', 'M087']","['M073', 'M084']",,"['P009', 'P066', 'P087']","['P013', 'P045', 'P101']",,,,,False,,,,M011 M019 ,P009 P066 ,2,2,2,2,False,BPnMCtmCDN
E19,name189,mentor189@email.com,False,1,0,6,4,,['M064'],"['M030', 'M071']",['M078'],,,['P104'],"['P076', 'P140']",,"['P013', 'P078', 'P132']",,,False,,,,,P104 ,0,1,1,0,False,pyPFphZnio
E20,name190,mentor190@email.com,False,10,10,7,20,"['M004', 'M016', 'M032', 'M044', 'M068', 'M083']","['M019', 'M062']","['M036', 'M049', 'M073']","['M002', 'M014']","['M027', 'M031', 'M050', 'M065', 'M066', 'M078', 'M087']",['P087'],"['P031', 'P093', 'P124']","['P106', 'P132']",['P030'],,,,False,,,,M004 M016 M032 M044 M068 M062 M014 M031 M065 M078 ,P087 ,10,1,10,10,False,Q7qYhtrEgu
E21,name191,mentor191@email.com,True,0,3,2,11,"['M012', 'M062', 'M087']","['M057', 'M084']","['M064', 'M078']",,"['M003', 'M011', 'M019', 'M083']",,['P045'],,,['P118'],,,True,"['M084', 'M064', 'M083']",[],,M084 M064 ,,2,0,0,2,False,OiOgVXl9nL
E22,name192,mentor192@email.com,True,4,0,9,5,,"['M006', 'M078']",['M005'],"['M030', 'M064']",,"['P009', 'P013', 'P104']",['P078'],,"['P066', 'P080']","['P081', 'P093', 'P125']",,,True,[],"['P078', 'P104', 'P013', 'P093']",,,P078 P013 ,0,2,2,0,False,hgfp6AlAwv
E25,name194,mentor194@email.com,False,3,1,9,22,"['M007', 'M073', 'M074']","['M011', 'M014', 'M030', 'M060', 'M065', 'M068']","['M002', 'M006', 'M012', 'M032', 'M066']","['M019', 'M031', 'M062']","['M004', 'M005', 'M033', 'M051', 'M064', 'M071']",['P081'],,"['P078', 'P093']","['P007', 'P013', 'P076', 'P087', 'P104']",['P061'],,,False,,,,M007 ,P081 P007 ,1,2,3,1,False,YiiESxh0iM
E26,name195,mentor195@email.com,True,4,0,4,1,,['M070'],,,,,,,"['P081', 'P093']","['P037', 'P076']",,,True,[],"['P093', 'P076', 'P037', 'P081']",,,P093 ,0,1,3,0,False,VuGbZYYJtE
E27,name196,mentor196@email.com,True,3,3,3,10,"['M050', 'M084']","['M007', 'M012']","['M043', 'M060']","['M010', 'M033']","['M020', 'M057', 'M062']",,['P076'],,['P101'],['P028'],,,False,,,,M050 M012 M060 ,P076 ,3,1,3,3,False,xE2E7lplCH
E28,name197,mentor197@email.com,True,2,2,3,2,['M043'],['M033'],,,,,,"['P028', 'P115']",['P027'],,,,True,"['M033', 'M043', 'P028']","['P115', 'P027']",,M033 ,P115 ,1,1,3,3,False,elQULoV4Zx
E29,name198,mentor198@email.com,True,2,5,2,9,"['M020', 'M025', 'M027', 'M033', 'M057']","['M043', 'M074']","['M007', 'M010']",['M050'],,,['P028'],,['P115'],,,,True,"['M025', 'M010', 'M027', 'M050', 'M057']","['P115', 'P028']",,M025 M027 ,P028 ,2,1,3,3,False,BM8PcBTW1I
E30,name199,mentor199@email.com,True,7,0,7,3,"['M005', 'M006']",['M025'],,,,['P115'],"['P101', 'P127', 'P132']",['P125'],['P028'],['P104'],,,True,[],"['P127', 'P115', 'P125', 'P028', 'P132', 'P104', 'P101']",,,P132 ,0,1,3,0,False,O7HpP62GKZ
E32,name201,mentor201@email.com,True,2,0,4,2,,,,['M020'],['M047'],['P055'],"['P037', 'P103']",,,['P131'],,,True,[],"['P055', 'P103']",,,P055 ,0,1,2,0,False,KaZORTh97E
E33,name202,mentor202@email.com,True,3,2,3,7,['M010'],"['M020', 'M047', 'M050']",,,"['M012', 'M014', 'M074']",['P103'],['P055'],,['P049'],,,,False,,,,M010 M020 ,P103 P049 ,2,2,3,2,False,eGll2suEbT
E34,name203,mentor203@email.com,True,1,1,1,2,,,"['M020', 'M047']",,,,,['P103'],,,,,True,['M047'],['P103'],,M047 ,,1,0,2,0,True,kr6hpvp9mx
E35,name204,mentor204@email.com,True,1,0,4,3,['M047'],,,,"['M006', 'M025']","['P028', 'P037']",,,,"['P027', 'P045']",,,True,[],['P037'],,,P037 ,0,1,1,0,False,XnajRvRyci
